path,file_name,mime_type,file_id,drive_link,web_view_link,is_shortcut,shortcut_target_id,shortcut_target_mime_type
GBP Images/documents-needed-for-support-mediation.png,documents-needed-for-support-mediation.png,image/png,120LDlYzyt2hrVXDbwesvd1ckaDGdUzQK,https://drive.google.com/file/d/120LDlYzyt2hrVXDbwesvd1ckaDGdUzQK/view?usp=drive_link,https://drive.google.com/file/d/120LDlYzyt2hrVXDbwesvd1ckaDGdUzQK/view?usp=drivesdk,false,,
GBP Images/early-strategy-decisions-that-protect-your-goals.png,early-strategy-decisions-that-protect-your-goals.png,image/png,1EGYCcucQhdP_Oe3YBeuatBagRQL6h6qj,https://drive.google.com/file/d/1EGYCcucQhdP_Oe3YBeuatBagRQL6h6qj/view?usp=drive_link,https://drive.google.com/file/d/1EGYCcucQhdP_Oe3YBeuatBagRQL6h6qj/view?usp=drivesdk,false,,
GBP Images/establishing-paternity-and-legal-parent-rights.png,establishing-paternity-and-legal-parent-rights.png,image/png,1gFqxfJLSenyWI3CZL2uiUUtQ4uCjFPox,https://drive.google.com/file/d/1gFqxfJLSenyWI3CZL2uiUUtQ4uCjFPox/view?usp=drive_link,https://drive.google.com/file/d/1gFqxfJLSenyWI3CZL2uiUUtQ4uCjFPox/view?usp=drivesdk,false,,
GBP Images/evidence-that-strengthens-support-modification-requests.png,evidence-that-strengthens-support-modification-requests.png,image/png,1sZxRqOxZKSDMEVcGi7giPAhK4rnbkF37,https://drive.google.com/file/d/1sZxRqOxZKSDMEVcGi7giPAhK4rnbkF37/view?usp=drive_link,https://drive.google.com/file/d/1sZxRqOxZKSDMEVcGi7giPAhK4rnbkF37/view?usp=drivesdk,false,,
GBP Images/fathers-rights-in-parenting-time-decisions.png,fathers-rights-in-parenting-time-decisions.png,image/png,1L-tVJkcW41e50Yh5pMsR0g25fG9o5tHL,https://drive.google.com/file/d/1L-tVJkcW41e50Yh5pMsR0g25fG9o5tHL/view?usp=drive_link,https://drive.google.com/file/d/1L-tVJkcW41e50Yh5pMsR0g25fG9o5tHL/view?usp=drivesdk,false,,
GBP Images/final-hearing-readiness-for-arizona-adoptions.png,final-hearing-readiness-for-arizona-adoptions.png,image/png,1Zjwvm84q4tsxMb9QmVulY3OuGjeuMnhj,https://drive.google.com/file/d/1Zjwvm84q4tsxMb9QmVulY3OuGjeuMnhj/view?usp=drive_link,https://drive.google.com/file/d/1Zjwvm84q4tsxMb9QmVulY3OuGjeuMnhj/view?usp=drivesdk,false,,
GBP Images/GBP-AZ-Fam-Law/consent-and-rights-issues-in-adoptions.png,consent-and-rights-issues-in-adoptions.png,image/png,1OiEt7Sp2SZpxORnnSs0yFrEClq46dxNy,https://drive.google.com/file/d/1OiEt7Sp2SZpxORnnSs0yFrEClq46dxNy/view?usp=drive_link,https://drive.google.com/file/d/1OiEt7Sp2SZpxORnnSs0yFrEClq46dxNy/view?usp=drivesdk,false,,
GBP Images/GBP-AZ-Fam-Law/deployment-aware-parenting-plan-adjustments.png,deployment-aware-parenting-plan-adjustments.png,image/png,12IJv2AhRVTYa4LxP2n87dvnbupiBUASB,https://drive.google.com/file/d/12IJv2AhRVTYa4LxP2n87dvnbupiBUASB/view?usp=drive_link,https://drive.google.com/file/d/12IJv2AhRVTYa4LxP2n87dvnbupiBUASB/view?usp=drivesdk,false,,
GBP Images/GBP-AZ-Fam-Law/minor-versus-adult-guardianship-pathways.png,minor-versus-adult-guardianship-pathways.png,image/png,1TcbmCN7vn7FE-WS1WFM3lB8RK9VutUT6,https://drive.google.com/file/d/1TcbmCN7vn7FE-WS1WFM3lB8RK9VutUT6/view?usp=drive_link,https://drive.google.com/file/d/1TcbmCN7vn7FE-WS1WFM3lB8RK9VutUT6/view?usp=drivesdk,false,,
GBP Images/GBP-AZ-Fam-Law/reducing-conflict-with-guided-mediation-agendas.png,reducing-conflict-with-guided-mediation-agendas.png,image/png,1H_Ncaunmc8fXoKbW-0sYyLGHgWVu8yk0,https://drive.google.com/file/d/1H_Ncaunmc8fXoKbW-0sYyLGHgWVu8yk0/view?usp=drive_link,https://drive.google.com/file/d/1H_Ncaunmc8fXoKbW-0sYyLGHgWVu8yk0/view?usp=drivesdk,false,,
GBP Images/GBP-AZ-Fam-Law/support-reviews-when-parenting-time-shifts.png,support-reviews-when-parenting-time-shifts.png,image/png,1djW2Xea4S5K8aL6DI1H73hixN9WxZ5UD,https://drive.google.com/file/d/1djW2Xea4S5K8aL6DI1H73hixN9WxZ5UD/view?usp=drive_link,https://drive.google.com/file/d/1djW2Xea4S5K8aL6DI1H73hixN9WxZ5UD/view?usp=drivesdk,false,,
GBP Images/GBP-AZ-Fam-Law/who-qualifies-for-spousal-maintenance.png,who-qualifies-for-spousal-maintenance.png,image/png,1l-pTLdqIaYsOUL4laIygHQMaXBHPCrlX,https://drive.google.com/file/d/1l-pTLdqIaYsOUL4laIygHQMaXBHPCrlX/view?usp=drive_link,https://drive.google.com/file/d/1l-pTLdqIaYsOUL4laIygHQMaXBHPCrlX/view?usp=drivesdk,false,,
GBP Images/guardianship-document-preparation-essentials.png,guardianship-document-preparation-essentials.png,image/png,19n0zrA1bxh-nZ3LMHf1QPO3y5cGPf6Vl,https://drive.google.com/file/d/19n0zrA1bxh-nZ3LMHf1QPO3y5cGPf6Vl/view?usp=drive_link,https://drive.google.com/file/d/19n0zrA1bxh-nZ3LMHf1QPO3y5cGPf6Vl/view?usp=drivesdk,false,,
GBP Images/handling-arrears-with-practical-legal-planning.png,handling-arrears-with-practical-legal-planning.png,image/png,1l47eT7TTXYdBw27NYxQKgbcNj_mI-H8F,https://drive.google.com/file/d/1l47eT7TTXYdBw27NYxQKgbcNj_mI-H8F/view?usp=drive_link,https://drive.google.com/file/d/1l47eT7TTXYdBw27NYxQKgbcNj_mI-H8F/view?usp=drivesdk,false,,
GBP Images/how-child-support-is-calculated-in-arizona.png,how-child-support-is-calculated-in-arizona.png,image/png,16yJcD6kW3rIjM2bkRHDV-_F7V7WH4-l6,https://drive.google.com/file/d/16yJcD6kW3rIjM2bkRHDV-_F7V7WH4-l6/view?usp=drive_link,https://drive.google.com/file/d/16yJcD6kW3rIjM2bkRHDV-_F7V7WH4-l6/view?usp=drivesdk,false,,
GBP Images/how-divorce-mediation-sessions-work-in-arizona.png,how-divorce-mediation-sessions-work-in-arizona.png,image/png,1IQwB2x6py16yP0FYLi6da3jlSq9JBp_q,https://drive.google.com/file/d/1IQwB2x6py16yP0FYLi6da3jlSq9JBp_q/view?usp=drive_link,https://drive.google.com/file/d/1IQwB2x6py16yP0FYLi6da3jlSq9JBp_q/view?usp=drivesdk,false,,
GBP Images/managing-communication-in-high-stress-divorces.png,managing-communication-in-high-stress-divorces.png,image/png,1VxAW-rwGgMnVhd9KhZQzLubdLQTsFUYz,https://drive.google.com/file/d/1VxAW-rwGgMnVhd9KhZQzLubdLQTsFUYz/view?usp=drive_link,https://drive.google.com/file/d/1VxAW-rwGgMnVhd9KhZQzLubdLQTsFUYz/view?usp=drivesdk,false,,
GBP Images/mediation-timelines-compared-with-contested-divorce.png,mediation-timelines-compared-with-contested-divorce.png,image/png,1_yWu2nrTZgkQjymK6osXG8VNP4yOAFuw,https://drive.google.com/file/d/1_yWu2nrTZgkQjymK6osXG8VNP4yOAFuw/view?usp=drive_link,https://drive.google.com/file/d/1_yWu2nrTZgkQjymK6osXG8VNP4yOAFuw/view?usp=drivesdk,false,,
GBP Images/military-divorce-filing-options-in-arizona.png,military-divorce-filing-options-in-arizona.png,image/png,1dNDgqqlrkghTekXuLDAoqMQf8_XETdUI,https://drive.google.com/file/d/1dNDgqqlrkghTekXuLDAoqMQf8_XETdUI/view?usp=drive_link,https://drive.google.com/file/d/1dNDgqqlrkghTekXuLDAoqMQf8_XETdUI/view?usp=drivesdk,false,,
GBP Images/military-retirement-division-fundamentals.png,military-retirement-division-fundamentals.png,image/png,1P6Biwk4HJoCVVSMzkwn7CpSz8ryRLDf0,https://drive.google.com/file/d/1P6Biwk4HJoCVVSMzkwn7CpSz8ryRLDf0/view?usp=drive_link,https://drive.google.com/file/d/1P6Biwk4HJoCVVSMzkwn7CpSz8ryRLDf0/view?usp=drivesdk,false,,
GBP Images/minor-versus-adult-guardianship-pathways.png,minor-versus-adult-guardianship-pathways.png,image/png,1WA_7KLh6rpptnfEul-KvCYUc9wQbfE9-,https://drive.google.com/file/d/1WA_7KLh6rpptnfEul-KvCYUc9wQbfE9-/view?usp=drive_link,https://drive.google.com/file/d/1WA_7KLh6rpptnfEul-KvCYUc9wQbfE9-/view?usp=drivesdk,false,,
GBP Images/negotiating-support-terms-through-mediation.png,negotiating-support-terms-through-mediation.png,image/png,1YuZNHFl9YjXNI9hPF_fuKgIHDi_ZFm8V,https://drive.google.com/file/d/1YuZNHFl9YjXNI9hPF_fuKgIHDi_ZFm8V/view?usp=drive_link,https://drive.google.com/file/d/1YuZNHFl9YjXNI9hPF_fuKgIHDi_ZFm8V/view?usp=drivesdk,false,,
GBP Images/parenting-plan-clauses-that-prevent-future-disputes.png,parenting-plan-clauses-that-prevent-future-disputes.png,image/png,1iWnh6RuPyKxyL9K4K1HIE75wIVTc4c4x,https://drive.google.com/file/d/1iWnh6RuPyKxyL9K4K1HIE75wIVTc4c4x/view?usp=drive_link,https://drive.google.com/file/d/1iWnh6RuPyKxyL9K4K1HIE75wIVTc4c4x/view?usp=drivesdk,false,,
GBP Images/paternity-outcomes-for-custody-and-support.png,paternity-outcomes-for-custody-and-support.png,image/png,11C1KwK9GVCHOCL0hdUzLjTeh0btE0bJA,https://drive.google.com/file/d/11C1KwK9GVCHOCL0hdUzLjTeh0btE0bJA/view?usp=drive_link,https://drive.google.com/file/d/11C1KwK9GVCHOCL0hdUzLjTeh0btE0bJA/view?usp=drivesdk,false,,
GBP Images/preparing-financial-documents-for-mediation.png,preparing-financial-documents-for-mediation.png,image/png,19ZT0qjNXeK5wbsjnDRvGca_c2-LIr-jO,https://drive.google.com/file/d/19ZT0qjNXeK5wbsjnDRvGca_c2-LIr-jO/view?usp=drive_link,https://drive.google.com/file/d/19ZT0qjNXeK5wbsjnDRvGca_c2-LIr-jO/view?usp=drivesdk,false,,
GBP Images/Reducing family disruption during military divorce supportive military family parent child hug stability stock photo.png,Reducing family disruption during military divorce supportive military family parent child hug stability stock photo.png,image/png,1l9eJs4an1Vr973rDUJmd1fxAjbMnk1b4,https://drive.google.com/file/d/1l9eJs4an1Vr973rDUJmd1fxAjbMnk1b4/view?usp=drive_link,https://drive.google.com/file/d/1l9eJs4an1Vr973rDUJmd1fxAjbMnk1b4/view?usp=drivesdk,false,,
GBP Images/reducing-conflict-with-guided-mediation-agendas.png,reducing-conflict-with-guided-mediation-agendas.png,image/png,1gbQnTyy6wTxxYnA3VDMnT-lBBfcS4zOi,https://drive.google.com/file/d/1gbQnTyy6wTxxYnA3VDMnT-lBBfcS4zOi/view?usp=drive_link,https://drive.google.com/file/d/1gbQnTyy6wTxxYnA3VDMnT-lBBfcS4zOi/view?usp=drivesdk,false,,
GBP Images/relocation-issues-and-custody-modifications.png,relocation-issues-and-custody-modifications.png,image/png,1PzY1CA0SYr_uXAP0S29mBeMFrCiXBwdU,https://drive.google.com/file/d/1PzY1CA0SYr_uXAP0S29mBeMFrCiXBwdU/view?usp=drive_link,https://drive.google.com/file/d/1PzY1CA0SYr_uXAP0S29mBeMFrCiXBwdU/view?usp=drivesdk,false,,
GBP Images/responding-to-custody-allegations-with-clear-records.png,responding-to-custody-allegations-with-clear-records.png,image/png,1wlNRMqRdZ2NftPnyZhP-uDFTBXx4bBah,https://drive.google.com/file/d/1wlNRMqRdZ2NftPnyZhP-uDFTBXx4bBah/view?usp=drive_link,https://drive.google.com/file/d/1wlNRMqRdZ2NftPnyZhP-uDFTBXx4bBah/view?usp=drivesdk,false,,
GBP Images/scra-considerations-in-divorce-timelines.png,scra-considerations-in-divorce-timelines.png,image/png,1_FMIFemjVCmbAPEFJoLSFeyUA_x4071p,https://drive.google.com/file/d/1_FMIFemjVCmbAPEFJoLSFeyUA_x4071p/view?usp=drive_link,https://drive.google.com/file/d/1_FMIFemjVCmbAPEFJoLSFeyUA_x4071p/view?usp=drivesdk,false,,
GBP Images/stepparent-adoption-process-essentials.png,stepparent-adoption-process-essentials.png,image/png,13eyHVZdzZO-ILKxCrgBfAcjK2bbseHfK,https://drive.google.com/file/d/13eyHVZdzZO-ILKxCrgBfAcjK2bbseHfK/view?usp=drive_link,https://drive.google.com/file/d/13eyHVZdzZO-ILKxCrgBfAcjK2bbseHfK/view?usp=drivesdk,false,,
GBP Images/support-planning-with-variable-income.png,support-planning-with-variable-income.png,image/png,1967oZ56FoRG8ON6pxQ51B67_-HMwlF_n,https://drive.google.com/file/d/1967oZ56FoRG8ON6pxQ51B67_-HMwlF_n/view?usp=drive_link,https://drive.google.com/file/d/1967oZ56FoRG8ON6pxQ51B67_-HMwlF_n/view?usp=drivesdk,false,,
GBP Images/support-reviews-when-parenting-time-shifts.png,support-reviews-when-parenting-time-shifts.png,image/png,10mwKMo8oaJsVY_91FmBI_wJnCTITE7pf,https://drive.google.com/file/d/10mwKMo8oaJsVY_91FmBI_wJnCTITE7pf/view?usp=drive_link,https://drive.google.com/file/d/10mwKMo8oaJsVY_91FmBI_wJnCTITE7pf/view?usp=drivesdk,false,,
GBP Images/temporary-versus-long-term-support-expectations.png,temporary-versus-long-term-support-expectations.png,image/png,1Qt04YibIrkOO_Uqas9x5Cr7ml34_ECQ3,https://drive.google.com/file/d/1Qt04YibIrkOO_Uqas9x5Cr7ml34_ECQ3/view?usp=drive_link,https://drive.google.com/file/d/1Qt04YibIrkOO_Uqas9x5Cr7ml34_ECQ3/view?usp=drivesdk,false,,
GBP Images/turning-mediated-agreements-into-court-orders.png,turning-mediated-agreements-into-court-orders.png,image/png,1pAulqj1K3I5mjo_wM_0YDhHJPAY2Wlnz,https://drive.google.com/file/d/1pAulqj1K3I5mjo_wM_0YDhHJPAY2Wlnz/view?usp=drive_link,https://drive.google.com/file/d/1pAulqj1K3I5mjo_wM_0YDhHJPAY2Wlnz/view?usp=drivesdk,false,,
GBP Images/using-mediation-to-finalize-parenting-and-support-terms.png,using-mediation-to-finalize-parenting-and-support-terms.png,image/png,1ybSCEEksZ8atddhn20dBLN9lE_4lOfLY,https://drive.google.com/file/d/1ybSCEEksZ8atddhn20dBLN9lE_4lOfLY/view?usp=drive_link,https://drive.google.com/file/d/1ybSCEEksZ8atddhn20dBLN9lE_4lOfLY/view?usp=drivesdk,false,,
GBP Images/what-to-organize-before-your-divorce-consult.png,what-to-organize-before-your-divorce-consult.png,image/png,1kI4C1b98Gw28xiV3Q47Lpso0e1R6HZi5,https://drive.google.com/file/d/1kI4C1b98Gw28xiV3Q47Lpso0e1R6HZi5/view?usp=drive_link,https://drive.google.com/file/d/1kI4C1b98Gw28xiV3Q47Lpso0e1R6HZi5/view?usp=drivesdk,false,,
GBP Images/when-emergency-guardianship-is-appropriate.png,when-emergency-guardianship-is-appropriate.png,image/png,17uw_8TiFIww1my2jiaUFv9uvUOpnQx-S,https://drive.google.com/file/d/17uw_8TiFIww1my2jiaUFv9uvUOpnQx-S/view?usp=drive_link,https://drive.google.com/file/d/17uw_8TiFIww1my2jiaUFv9uvUOpnQx-S/view?usp=drivesdk,false,,
GBP Images/when-support-can-be-modified-after-income-changes.png,when-support-can-be-modified-after-income-changes.png,image/png,18r7ZSirycG-Z1s3Fjp63Of6KFUvDVZi8,https://drive.google.com/file/d/18r7ZSirycG-Z1s3Fjp63Of6KFUvDVZi8/view?usp=drive_link,https://drive.google.com/file/d/18r7ZSirycG-Z1s3Fjp63Of6KFUvDVZi8/view?usp=drivesdk,false,,
GBP Images/who-qualifies-for-spousal-maintenance.png,who-qualifies-for-spousal-maintenance.png,image/png,12nONg-K0U8NvlQcq2Bwk66ZRD28YFLyX,https://drive.google.com/file/d/12nONg-K0U8NvlQcq2Bwk66ZRD28YFLyX/view?usp=drive_link,https://drive.google.com/file/d/12nONg-K0U8NvlQcq2Bwk66ZRD28YFLyX/view?usp=drivesdk,false,,
