"Address","Status Code","Title 1","Indexability","Indexability Status","GA4 Sessions","GA4 Views","GA4 Engaged sessions","GA4 Engagement rate","GA4 Key events","GA4 Event count","GA4 Total revenue","GA4 New users"
"https://sbrownlawyer.com/2023/01/25/private-property-police-search-in-texas/","200","Police Search Rights in Houston TX: Private Property Laws","Indexable","","30","30","13","0.430","0.000","342","0.000","30"
"https://sbrownlawyer.com/terms-of-service","301","","Non-Indexable","Redirected","29","30","8","0.280","0.000","201","0.000","27"
"https://sbrownlawyer.com/terms-of-service/","200","Terms of Service | Scott M. Brown & Associates","Indexable","","29","30","8","0.280","0.000","201","0.000","27"
"https://sbrownlawyer.com/2018/05/15/what-is-medical-support-in-texas/","200","What is Medical Support in Texas? | Scott M. Brown & Associates","Indexable","","29","29","17","0.590","0.000","279","0.000","26"
"https://sbrownlawyer.com/2014/10/17/iggy-azalea-isnt-married-but-she-was-sued-for-divorce-in-texas/","200","Iggy Azalea isn't married but she was sued for divorce in Texas | Scott M. Brown & Associates | Scott M. Brown & Associates","Indexable","","27","31","14","0.520","0.000","352","0.000","24"
"https://sbrownlawyer.com/when-alcohol-becomes-a-factor-in-divorce-proceedings/","200","When alcohol becomes a factor in divorce proceedings","Indexable","","24","25","20","0.830","0.000","332","0.000","23"
"https://sbrownlawyer.com/2020/03/02/enforcing-a-divorce-decree-everything-you-need-to-know/","200","Enforcing a Divorce Decree: Everything You Need to Know | Scott M. Brown & Associates","Indexable","","23","30","16","0.700","2.000","314","0.000","21"
"https://sbrownlawyer.com/2018/04/23/how-do-bond-reductions-work/","200","How Do Bond Reductions Work in Texas? | Scott M. Brown & Associates","Indexable","","23","24","16","0.700","0.000","245","0.000","22"
"https://sbrownlawyer.com/careers/","200","Careers | Scott M. Brown & Associates","Indexable","","21","35","19","0.900","1.000","208","0.000","17"
"https://sbrownlawyer.com/2024/10/09/legal-rights-for-pedestrian-injury-victims-in-texas/","200","Legal Rights for Pedestrian Injury Victims in Texas: What You Need to Know | Texas","Indexable","","21","23","10","0.480","1.000","282","0.000","16"
"https://sbrownlawyer.com/2020/12/28/what-to-ask-your-family-lawyer-about-your-child-custody-agreement/","200","What to Ask Your Family Lawyer About Your Child Custody Agreement | Scott M. Brown & Associates","Indexable","","21","21","15","0.710","0.000","250","0.000","21"
"https://sbrownlawyer.com/sex-crimes/texas-sex-crime-law/","200","Texas Sex Crime Law | Sex Crimes Law Texas | Pearland, TX","Indexable","","20","21","11","0.550","3.000","257","0.000","20"
"https://sbrownlawyer.com/2024/10/18/over-55-divorce/","200","Over 55 Divorce in Texas | Pearland, Texas","Indexable","","20","20","7","0.350","0.000","271","0.000","18"
"https://sbrownlawyer.com/news/","200","In the News | Scott M. Brown & Associates","Indexable","","19","63","15","0.790","8.000","517","0.000","11"
"https://sbrownlawyer.com/2019/10/08/can-you-sue-a-partner-that-infected-you-with-an-std/","200","Sue a Partner Who Gave You STD’s? | Scott M. Brown & Associates","Indexable","","19","24","14","0.740","0.000","326","0.000","17"
"https://sbrownlawyer.com/2019/05/16/motorcycle-laws-regarding-children-in-texas/","200","Motorcycle Laws Regarding Children in Texas | Scott M. Brown & Associates","Indexable","","19","19","11","0.580","0.000","259","0.000","17"
"https://sbrownlawyer.com/child-custody/","200","Child Custody in Texas | Scott M. Brown & Associates","Indexable","","18","28","12","0.670","0.000","273","0.000","11"
"https://sbrownlawyer.com/texas/locations/","200","Texas Family Law Office Locations | Scott M. Brown & Associates","Indexable","","18","39","11","0.610","0.000","310","0.000","9"
"https://sbrownlawyer.com/slip-and-fall-accidents/","200","Slip and Fall Accidents in Texas | Houston, Texas","Indexable","","18","22","12","0.670","2.000","205","0.000","18"
"https://sbrownlawyer.com/child-custody","301","","Non-Indexable","Redirected","18","28","12","0.670","0.000","273","0.000","11"
"https://sbrownlawyer.com/areas-we-serve/","200","Texas Family Law Service Areas | Scott M. Brown & Associates","Indexable","","17","27","10","0.590","2.000","239","0.000","11"
"https://sbrownlawyer.com/sex-crimes/sex-offender-registration/","200","Sex Offender Registration Lawyer | Pearland, Texas","Indexable","","17","17","5","0.290","0.000","216","0.000","16"
"https://sbrownlawyer.com/2019/04/10/can-a-dwi-affect-your-divorce-proceedings/","200","Can a DWI Case Affect Your Divorce Proceedings? | Scott M. Brown & Associates","Indexable","","17","20","10","0.590","0.000","287","0.000","16"
"https://sbrownlawyer.com/spinal-cord-injury/","200","Spinal Cord Injury in Texas | Houston, Texas","Indexable","","16","20","8","0.500","0.000","174","0.000","16"
"https://sbrownlawyer.com/criminal-law/","200","Criminal Defense | Criminal Defense Lawyer | Pearland, Texas","Non-Indexable","Canonicalised,noindex","15","23","6","0.400","0.000","229","0.000","12"
"https://sbrownlawyer.com/criminal-law","301","","Non-Indexable","Redirected","15","23","6","0.400","0.000","229","0.000","12"
"https://sbrownlawyer.com/2014/08/01/texas-man-overpays-child-support-goes-to-jail/","200","Texas man overpays child support, goes to jail | Scott M. Brown & Associates | Scott M. Brown & Associates","Indexable","","14","15","8","0.570","0.000","93","0.000","12"
"https://sbrownlawyer.com/child-pornography/","200","Child Pornography | Child Pornography Attorney | Houston, TX","Indexable","","13","14","4","0.310","0.000","116","0.000","10"
"https://sbrownlawyer.com/back-injury/","200","Back Injury in Texas | Back Injury Attorneys | Houston,TX","Indexable","","13","20","9","0.690","0.000","199","0.000","13"
"https://sbrownlawyer.com/2016/08/16/paying-child-support-and-alimony-using-structured-settlements/","200","Paying Child Support And Alimony Using Structured Settlements | Scott M. Brown & Associates | Scott M. Brown & Associates","Indexable","","13","16","7","0.540","1.000","127","0.000","11"
"https://sbrownlawyer.com/2013/04/11/texas-child-support-powerball-winner-pays-past-due-30000/","200","Texas child support: Powerball winner pays past due $30,000 | Scott M. Brown & Associates | Scott M. Brown & Associates","Indexable","","13","15","10","0.770","1.000","208","0.000","13"
"https://sbrownlawyer.com/texas-family-law-attorney/","200","Texas Family Law | Scott M. Brown & Associates","Indexable","","12","17","6","0.500","0.000","196","0.000","3"
"https://sbrownlawyer.com/2021/03/15/who-qualifies-for-a-temporary-protective-order-in-texas-and-other-frequently-asked-questions/","200","Who Qualifies for a Temporary Protective Order in Texas? (and Other | Scott M. Brown & Associates","Indexable","","12","12","8","0.670","2.000","146","0.000","10"
"https://sbrownlawyer.com/2015/02/20/child-support-rights-of-grandparents-with-custody-of-a-grandchild/","200","Child support rights of grandparents with custody of a grandchild | Scott M. Brown & Associates | Scott M. Brown & Associates","Indexable","","12","13","5","0.420","0.000","136","0.000","11"
"https://sbrownlawyer.com/testimonials/","200","Client Reviews | Scott M. Brown & Associates","Indexable","","11","17","7","0.640","0.000","201","0.000","8"
"https://sbrownlawyer.com/steps-in-settling-your-claim-in-texas/","200","Steps in Settling Your Claim in Texas | Houston, Texas","Indexable","","11","12","8","0.730","0.000","154","0.000","11"
"https://sbrownlawyer.com/sexual-abuse/","200","Sexual Abuse | Sexual Abuse Defense Lawyer | Pearland, Texas","Indexable","","11","11","2","0.180","0.000","93","0.000","10"
"https://sbrownlawyer.com/angleton/","301","","Non-Indexable","Redirected","11","31","8","0.730","0.000","225","0.000","8"
"https://sbrownlawyer.com/news/angleton-school-custody-schedules/","200","Angleton Back-to-School Custody Guidance | Scott M. Brown & Associates","Indexable","","11","21","7","0.640","7.000","157","0.000","7"
"https://sbrownlawyer.com/espanol/","200","Abogado de derecho de familia en Texas | Scott M. Brown & Associates","Indexable","","11","116","7","0.640","12.000","537","0.000","7"
"https://sbrownlawyer.com/divorce-book/","200","The Divorce Book in Angleton, TX | Step By Step Guide","Indexable","","10","55","3","0.300","8.000","210","0.000","4"
"https://sbrownlawyer.com/cohabitation/","200","Cohabitation Agreement Texas | Pearland, TX","Indexable","","9","9","6","0.670","0.000","89","0.000","9"
"https://sbrownlawyer.com/obscenity/","200","Obscenity in Criminal Defense | Houston, TX","Indexable","","9","9","4","0.440","0.000","88","0.000","9"
"https://sbrownlawyer.com/2024/07/04/expungement-vs-sealing-what-is-the-best-option/","200","Expungement vs. Sealing: What is the Best? | Angleton, TX","Indexable","","9","9","5","0.560","0.000","141","0.000","9"
"https://sbrownlawyer.com/2021/05/06/confronting-gender-bias-in-child-custody-arrangements/","200","Confronting Gender Bias in Child Custody Arrangements | Scott M. Brown & Associates","Indexable","","9","9","5","0.560","0.000","142","0.000","5"
"https://sbrownlawyer.com/2020/01/14/how-texas-defines-child-abuse/","200","How Texas Defines Child Abuse | Scott M. Brown & Associates","Indexable","","9","9","5","0.560","1.000","135","0.000","9"
"https://sbrownlawyer.com/2017/05/02/how-can-a-spouse-keep-the-house-after-a-texas-divorce/","200","How Can A Spouse Keep The House After A Texas Divorce? | Scott M. Brown & Associates | Scott M. Brown & Associates","Indexable","","9","9","7","0.780","0.000","79","0.000","9"
"https://sbrownlawyer.com/faq/","200","Getting Divorced In Texas | Family Law FAQ | Divorce Process","Indexable","","9","9","4","0.440","0.000","101","0.000","9"
"https://sbrownlawyer.com/child-support/","200","Child Support in Texas | Scott M. Brown & Associates","Indexable","","8","8","3","0.380","0.000","82","0.000","6"
"https://sbrownlawyer.com/Attorneys","301","","Non-Indexable","Redirected","8","13","8","1.000","0.000","93","0.000","6"
"https://sbrownlawyer.com/Attorneys/","200","Texas Family Law & Divorce Lawyers | Scott M. Brown & Associates","Non-Indexable","Canonicalised","8","13","8","1.000","0.000","93","0.000","6"
"https://sbrownlawyer.com/news/announcement-divorce-custody-representation-league-city/","200","Firm Strengthens League City Divorce & Custody Support | Scott M. Brown & Associates","Indexable","","8","32","5","0.630","0.000","223","0.000","6"
"https://sbrownlawyer.com/child-support","301","","Non-Indexable","Redirected","8","8","3","0.380","0.000","82","0.000","6"
"https://sbrownlawyer.com/2019/09/15/how-to-fight-a-protective-order/","200","How to Fight A Protective Order | Scott M. Brown & Associates","Indexable","","8","8","7","0.880","0.000","116","0.000","6"
"https://sbrownlawyer.com/2018/05/01/can-you-be-arrested-for-overdosing-on-drugs-in-texas/","200","Get Arrested for Overdosing on Drugs in Texas? | Scott M. Brown & Associates","Indexable","","8","10","6","0.750","0.000","106","0.000","7"
"https://sbrownlawyer.com/business-owner-divorce/","200","Business Owner Property Division in Texas | Scott M. Brown & Associates","Indexable","","7","8","4","0.570","0.000","69","0.000","5"
"https://sbrownlawyer.com/personal-injury/","200","Personal Injury Lawyers Protecting Texans | Scott M. Brown & Associates","Indexable","","7","9","2","0.290","0.000","53","0.000","5"
"https://sbrownlawyer.com/2024/03/26/grandparent-custody-rights/","200","Grandparents’ Custody Rights in Texas | Houston, TX","Indexable","","7","8","5","0.710","0.000","125","0.000","6"
"https://sbrownlawyer.com/homes-and-real-estate/","200","Homes and Real Estate Property Division Lawyers | Pearland, Angleton & League City Texas","Indexable","","7","9","5","0.710","1.000","114","0.000","6"
"https://sbrownlawyer.com/pearland/","301","","Non-Indexable","Redirected","7","8","2","0.290","2.000","104","0.000","5"
"https://sbrownlawyer.com/personal-injury","301","","Non-Indexable","Redirected","7","9","2","0.290","0.000","53","0.000","5"
"https://sbrownlawyer.com/estate-planning/","200","Estate Planning | Pearland estate planning attorneys | Pearland, Texas","Indexable","","7","7","5","0.710","0.000","64","0.000","4"
"https://sbrownlawyer.com/2016/01/08/being-current-on-child-support-required-under-new-open-carry-law/","200","Being current on child support required under new open carry law | Scott M. Brown & Associates | Scott M. Brown & Associates","Indexable","","7","7","1","0.140","0.000","50","0.000","7"
"https://sbrownlawyer.com/2009/05/13/the-obsessed-alienator/","200","The Obsessed Alienator | Scott M. Brown & Associates | Scott M. Brown & Associates","Indexable","","7","8","3","0.430","0.000","107","0.000","4"
"https://sbrownlawyer.com/reckless-driving/","200","Reckless Driving | Angleton Criminal Defense","Indexable","","7","7","4","0.570","1.000","70","0.000","7"
"https://sbrownlawyer.com/2009/03/02/consent-to-medical-care-by-a-non-parent/","200","CONSENT TO MEDICAL CARE BY A NON-PARENT | Scott M. Brown & Associates | Scott M. Brown & Associates","Indexable","","7","7","2","0.290","0.000","67","0.000","7"
"https://sbrownlawyer.com/blog/","200","Family Law Blog | Scott M. Brown & Associates","Indexable","","6","6","1","0.170","0.000","20","0.000","5"
"https://sbrownlawyer.com/criminal-defense-book/","200","Criminal Defense Book | Scott M. Brown & Associates","Indexable","","6","9","3","0.500","1.000","99","0.000","5"
"https://sbrownlawyer.com/2024/08/01/felony-misdemeanor-difference-league-city/","200","Felony vs Misdemeanor League City | Scott M. Brown","Indexable","","6","6","3","0.500","0.000","84","0.000","6"
"https://sbrownlawyer.com/uncontested-divorce-lawyer-in-pearland/","200","Pearland Uncontested Divorce Lawyers | Scott M. Brown & Associates","Indexable","","6","10","4","0.670","0.000","70","0.000","4"
"https://sbrownlawyer.com/oil-and-mineral-rights/","200","Pearland Oil & Mineral Rights Lawyer | Angleton TX Gas Royalties Attorney | Texas","Indexable","","6","12","6","1.000","1.000","65","0.000","5"
"https://sbrownlawyer.com/league-city-2/","200","League City TX Attorneys | Scott M. Brown & Associates","Non-Indexable","Canonicalised,noindex","6","6","1","0.170","0.000","36","0.000","5"
"https://sbrownlawyer.com/abogado-de-sucesiones-en-pearland-tx/","200","¿Cómo Funciona el Proceso de Sucesión en Texas? | Abogado de Sucesiones en Pearland","Indexable","","6","6","4","0.670","0.000","77","0.000","6"
"https://sbrownlawyer.com/2024/04/26/beyond-divorce-guide-to-post-divorce-family-laws/","200","Post-Divorce Issues | Divorce Family Lawyers | Angleton, TX","Indexable","","6","6","3","0.500","0.000","64","0.000","4"
"https://sbrownlawyer.com/personal-injury/tbi/","301","","Non-Indexable","Redirected","6","8","2","0.330","0.000","50","0.000","5"
"https://sbrownlawyer.com/2021/11/26/child-support-guidelines-in-texas-an-overview/","200","Child Support Guidelines in Texas: An Overview | League City, TX","Indexable","","6","8","3","0.500","0.000","111","0.000","4"
"https://sbrownlawyer.com/blog","301","","Non-Indexable","Redirected","6","6","1","0.170","0.000","20","0.000","5"
"https://sbrownlawyer.com/2018/08/01/can-a-non-parent-pursue-custody/","200","Can a Non-Parent Pursue Custody? | Scott M. Brown & Associates","Indexable","","6","6","4","0.670","0.000","53","0.000","6"
"https://sbrownlawyer.com/2019/08/10/legal-immunity-for-reporting-alcohol-poisoning/","200","Legal Immunity for Reporting Alcohol Poisoning | Scott M. Brown & Associates","Indexable","","6","6","1","0.170","0.000","67","0.000","6"
"https://sbrownlawyer.com/protective-services/","200","Child Protective Services Lawyers Pearland | CPS Attorneys","Indexable","","5","6","4","0.800","0.000","37","0.000","5"
"https://sbrownlawyer.com/child-support/child-support-modifications/","200","Child Support Modifications | Angleton Modification Attorney","Indexable","","5","5","3","0.600","0.000","45","0.000","5"
"https://sbrownlawyer.com/division-of-property/","200","Property Division in Texas | Scott M. Brown & Associates","Indexable","","5","5","3","0.600","0.000","47","0.000","5"
"https://sbrownlawyer.com/grand-theft/","200","Grand Theft | Grand Theft Attorney | Houston, TX","Indexable","","5","6","2","0.400","0.000","59","0.000","4"
"https://sbrownlawyer.com/internet-sex-crimes/","200","What To Know About Internet Sex Crimes in Texas | Angleton","Indexable","","5","6","4","0.800","0.000","60","0.000","4"
"https://sbrownlawyer.com/rape/","200","Pearland TX Rape Defense Attorney | Pearland, TX","Indexable","","5","5","3","0.600","0.000","59","0.000","5"
"https://sbrownlawyer.com/division-of-property","301","","Non-Indexable","Redirected","5","5","3","0.600","0.000","47","0.000","5"
"https://sbrownlawyer.com/2020/07/13/10-signs-divorced-parents-are-doing-right-by-their-kids/","200","10 Signs Divorced Parents Are Doing Right by Their Kids | Scott M. Brown & Associates","Indexable","","5","5","0","0.000","0.000","87","0.000","4"
"https://sbrownlawyer.com/2015/04/17/is-your-ex-spouse-skipping-child-support-with-contract-work/","200","Is your ex-spouse skipping child support with contract work? | Scott M. Brown & Associates | Scott M. Brown & Associates","Indexable","","5","5","4","0.800","1.000","94","0.000","5"
"https://sbrownlawyer.com/2019/01/28/if-you-are-in-an-accident-with-a-drunk-driver-can-you-press-charges/","200","Can You Press Charges Against Drunk Drivers? | Scott M. Brown & Associates","Indexable","","5","5","3","0.600","0.000","81","0.000","5"
"https://sbrownlawyer.com/adoption/","200","Adoption in Texas | Scott M. Brown & Associates","Indexable","","4","5","3","0.750","2.000","48","0.000","4"
"https://sbrownlawyer.com/case-results/","200","Successful Case Results from Houston, Texas","Indexable","","4","4","2","0.500","0.000","31","0.000","4"
"https://sbrownlawyer.com/health-coverage-accident-claims/","200","Health Coverage and Accident Claims | Scott M. Brown & Associates","Indexable","","4","5","2","0.500","0.000","45","0.000","4"
"https://sbrownlawyer.com/team-member-testimonials/","200","Team Member Testimonials | Scott M. Brown & Associates","Indexable","","4","4","1","0.250","0.000","27","0.000","4"
"https://sbrownlawyer.com/child-custody/emergency/","200","Emergency Child Custody | Texas Lawyer","Indexable","","4","4","3","0.750","0.000","58","0.000","4"
"https://sbrownlawyer.com/information-about-brazoria-county-texas/","200","Brazoria County | Scott M. Brown & Associates","Indexable","","4","4","3","0.750","0.000","29","0.000","4"
"https://sbrownlawyer.com/top-military-divorce-lawyer-in-texas/","200","Military Child Custody in Texas | Scott M. Brown & Associates","Indexable","","4","12","4","1.000","1.000","79","0.000","4"
"https://sbrownlawyer.com/school-teacher-sexual-assault/","200","School Teacher Sexual Assault Defense Lawyer | Scott M. Brown & Associates - Offices in Pearland, League City & Angleton, TX","Indexable","","4","5","2","0.500","0.000","72","0.000","4"
"https://sbrownlawyer.com/2020/06/25/partner-abuse-the-many-forms-of-domestic-violence/","200","Partner Abuse: The Many Forms of Domestic Violence | Scott M. Brown & Associates","Indexable","","4","6","3","0.750","0.000","92","0.000","4"
"https://sbrownlawyer.com/restraining-orders/","200","Lawyer for Restraining Orders | Offices in Angleton, Pearland & League City, TX","Indexable","","4","5","3","0.750","0.000","47","0.000","4"
"https://sbrownlawyer.com/2015/10/02/child-support-and-gender-bias-in-the-courts/","200","Child support and gender bias in the courts | Scott M. Brown & Associates | Scott M. Brown & Associates","Indexable","","4","6","3","0.750","0.000","51","0.000","4"
"https://sbrownlawyer.com/2019/04/05/alternatives-to-going-to-trial/","200","Alternatives to Going to Trial | Scott M. Brown & Associates","Indexable","","4","4","1","0.250","0.000","14","0.000","4"
"https://sbrownlawyer.com/2018/09/04/is-it-legal-for-police-to-search-your-car-in-texas/","200","Is it Legal for Police to Search Your Car in TX? | Scott M. Brown & Associates","Indexable","","4","4","1","0.250","0.000","46","0.000","4"
"https://sbrownlawyer.com/2021/09/10/is-it-wise-to-take-on-a-dwi-case-without-a-dwi-lawyer/","200","Is It Wise to Take on a DWI Case Without a DWI Lawyer? | Scott M. Brown & Associates","Indexable","","4","4","2","0.500","0.000","42","0.000","4"
"https://sbrownlawyer.com/2018/02/19/divorcing-an-addict/","200","Divorcing an Addict | Texas Divorce Attorney | Scott M. Brown & Associates","Indexable","","4","4","4","1.000","0.000","43","0.000","3"
"https://sbrownlawyer.com/areas-we-serve/brazoria-county/","200","Brazoria County Divorce & Family Lawyers | Scott M. Brown & Associates","Indexable","","3","6","2","0.670","0.000","46","0.000","1"
"https://sbrownlawyer.com/gray-divorce/","200","Texas Gray Divorce Attorney | Angleton, TX","Indexable","","3","10","3","1.000","0.000","78","0.000","2"
"https://sbrownlawyer.com/prenuptial-agreements/","200","Prenuptial & Postnuptial Agreements in Texas | Scott M. Brown & Associates","Indexable","","3","11","3","1.000","1.000","70","0.000","2"
"https://sbrownlawyer.com/disclaimer/","200","Disclaimer | Scott M. Brown & Associates","Indexable","","3","3","1","0.330","0.000","25","0.000","3"
"https://sbrownlawyer.com/immigration-videos/","301","","Non-Indexable","Redirected","3","3","0","0.000","0.000","9","0.000","3"
"https://sbrownlawyer.com/postnuptial-agreements/","200","Postnuptial Agreement Attorney | Pearland, TX","Indexable","","3","5","1","0.330","0.000","30","0.000","3"
"https://sbrownlawyer.com/premises-liability/","200","Houston Premises Liability Attorney | Premises Liability","Indexable","","3","4","1","0.330","0.000","17","0.000","3"
"https://sbrownlawyer.com/assault/","200","Assault | Assault Attorney | Houston, Texas","Indexable","","3","3","1","0.330","0.000","11","0.000","3"
"https://sbrownlawyer.com/what-is-dwi/","200","DWI | dwi attorney | Houston, Texas","Indexable","","3","3","2","0.670","0.000","11","0.000","3"
"https://sbrownlawyer.com/paralysis/","200","Texas Paralysis Attorney | Scott M. Brown & Associates","Indexable","","3","3","0","0.000","0.000","10","0.000","3"
"https://sbrownlawyer.com/sex-crimes/overview-of-sex-crime-defense/","200","Defenses to Sex Crime Charges in Texas | Pearland, TX","Indexable","","3","4","1","0.330","0.000","39","0.000","3"
"https://sbrownlawyer.com/2024/12/23/compensation-for-paralysis-injuries-your-guide-to-texas-law/","200","Compensation for Paralysis Injuries | Angleton, TX","Indexable","","3","3","0","0.000","0.000","24","0.000","3"
"https://sbrownlawyer.com/2022/02/18/can-i-file-legal-separation-on-texas/","200","Legal Separation in Texas | Scott M. Brown & Associates","Indexable","","3","3","1","0.330","0.000","39","0.000","3"
"https://sbrownlawyer.com/2021/05/31/your-parenting-plan-how-to-reach-a-child-custody-agreement-without-court-involvement/","200","Your Parenting Plan: How to Reach a Child Custody Agreement Without | Scott M. Brown & Associates","Indexable","","3","4","3","1.000","0.000","31","0.000","3"
