,,CATEGORY,"In Top Navigation
Y/N",Keyword Target,Current Meta Title,Length,(NEW) Meta Title,Status,Length,Current Meta Description,Length,(NEW) Meta Description,Status,Length,(CURRENT) H1,(SUGGESTED) H1 ,Status,Body Text ,(SUGGESTED) Presence of keyword target in the first 100 words,Presence of CTA above the fold/Hero Section
,https://www.azfamilylawattorneys.com/lauri-rodriguez/,Team,TRUE,Lauri Rodriguez,Lauri Rodriguez,15,Lauri Rodriguez | Arizona Family Law Attorneys,Implemented,46,Lauri Rodriguez is the first point of contact with our office and is the New Client Coordinator. Lauri gets your consultation scheduled and also helps to quickly onboard new clients so the team may begin working on their matters as soon as possible.,249,Lauri Rodriguez is part of the compassionate team at Arizona Family Law Attorneys. Get the support you need for your case. Call us today to get started.,Implemented,152,Meet Lauri Rodriguez,Current H1 is good.,No need to change,"Meet Lauri Rodriguez Lauri Rodriguez is the first point of contact with our office and is the New Client Coordinator. Lauri gets your case evaluation scheduled and also helps to quickly onboard new clients so the team may begin working on their matters as soon as possible. Lauri is also the Billing Manager. She is available to take payments quickly and set up payment plans to keep your trust replenished to the minimum level so work can continue without interruption. Payments plans are flexible, can match payroll dates or be weekly or bi-weekly. Lauri Rodriguez is a graduate of Northern Arizona University. She is married and a Mother of 9 children ages 4-31. Lauri was a foster parent for 20 years. In her spare time, she enjoys bike rides and being in the woods by a creek. She also enjoys cooking, knitting, and crocheting.",✅ Yes,❌ No
,https://www.azfamilylawattorneys.com/jordan-douglas/,Team,TRUE,Jordan Douglas,Jordan Douglas - Arizona Family Law Attorneys,45,Jordan Douglas | Arizona Family Law Attorneys,Implemented,45,Jordan Douglas - Arizona Family Law Attorneys,45,Jordan Douglas brings dedication to Arizona Family Law Attorneys. Helping you navigate family legal matters with care. Schedule your consultation today.,Implemented,152,Jordan Douglas,Meet Jordan Douglas,Implemented,"Jordan Douglas Meet Jordan, our warm and welcoming New Client Coordinator. From the very case evaluation, Jordan is dedicated to ensuring that every client feels comfortable and supported as they begin their journey with us. With a genuine passion for helping families navigate our services, she plays a crucial role in making sure each client’s experience is as smooth and reassuring as possible. Jordan is happily married and is a devoted “mother” to an impressive collection of houseplants. In her spare time, she finds joy in painting, gardening, and spending quality time with her beloved cat.",✅ Yes,❌ No
,https://www.azfamilylawattorneys.com/makayla-weldon/,Team,TRUE,MaKayla Weldon,MaKayla Weldon - Arizona Family Law Attorneys,45,MaKayla Weldon | Arizona Family Law Attorneys,Implemented,45,"Meet Makayla Weldon, a dedicated paralegal at Arizona Family Law Attorneys. Makayla provides compassionate support for your family law case. Contact us.",152,Current Description is good.,No need to change,,Meet MaKayla Weldon,Current H1 is good.,No need to change,"Meet MaKayla Weldon Paralegal Born and raised in the vibrant state of Arizona, MaKayla has cultivated a deep connection to the community she proudly serves. Her journey as a paralegal spans multiple fields, but her true passion lies within Family Law. Over the years, she has honed her skills and dedicated herself to supporting individuals and families through some of the most challenging times in their lives. MaKayla is committed not just to the legal process, but to providing compassionate, thorough, and diligent support to every client. When not working, she cherishes the moments spent with her family and their beloved dogs. Whether enjoying a day of shopping or simply spending quality time together, these activities help her stay grounded and bring balance to her life.",✅ Yes,❌ No
,https://www.azfamilylawattorneys.com/services/,Practice Area,TRUE,Our Family Law Services,Our Services | Arizona Family Law Attorneys,43,Current Title is good,No need to change,,Arizona Family Law Attorneys help with your case today. Call us for a free case evaluation now!,95,"Explore our family law services in Arizona. From divorce and custody to adoption and support, we are here to help. Call today for a consultation.",Implemented,145,Our Services,Our Family Law Services,Implemented,"Our Services Adoption Adoption can be a complicated process, and you don’t want to make any mistakes. Our Phoenix Family Lawyers proudly advocate for families who are seeking to adopt and provide solutions to the complexities that sometimes arise in the process. We can manage communications with adoption agencies and foster homes and facilitate private adoptions. Birth Mothers If you feel compelled to place your child for adoption, working with an attorney can help. You deserve access to resources to better your child’s life. We will help you place your child for adoption and protect your rights. Child Support As a parent, you are entitled to resources that financially support your child. Our attorneys can set up your child support payment plan and work to ensure you’re being paid enough and on time. We’ll defend your needs in court and award what’s owed to you. Child Custody Creating a child custody plan allows you to look out for your children’s best interests. We’re compassionate to",❌ No,❌ No
,https://www.azfamilylawattorneys.com/adoption/,Practice Area,TRUE,Adoption Attorneys/Lawyers,Phoenix Adoption Lawyers | Arizona Adoption Attorneys,53,Adoption Lawyers | Arizona Family Law Attorneys,Implemented,47,Are you considering adoption to grow your family? Our attorneys can help you understand your options and what to expect from the process.,137,Growing your family? Our Arizona adoption lawyers make the process smoother. Compassionate legal guidance for all adoption types. Call for a consultation.,Implemented,154,Adoption Attorney in Phoenix,Adoption Attorneys in Arizona,Implemented,"Adoption Attorney in Phoenix Phoenix Adoption Attorneys With a Passion for Helping Families Whether you are ready to expand your family or are just starting to think about adoption, it’s important to be aware that, though rewarding in the end, it’s a complex and often lengthy process. Adoption involves the court system and specific laws, and you need an attorney who has experience in this area and can help you navigate the road ahead. The process of adopting a child presents unique legal requirements that vary greatly from other practice areas of law. Our firm is prepared to meet these requirements to make the adoption process seamless and rewarding. Adoption is life-changing because you, as the adoptive parent, have taken a pledge to improve the life of a child. That’s why choosing the right adoption attorney is one of the most important steps a Phoenix, Arizona, adoptive family can take. If you’re ready to seriously explore adoption or have already faced challenges, Arizona Family La",✅ Yes,❌ No
,https://www.azfamilylawattorneys.com/child-custody/,Practice Area,TRUE,Child Custody Attorneys/Lawyers,Custody Attorney Phoenix AZ | Arizona Child Custody Attorney,60,Custody Lawyers | Arizona Family Law Attorneys,Implemented,46,How does child custody work in Arizona? Find out what options you have and what potential challenges you may face when you talk to one of our attorneys.,152,Fighting for your children? Our Arizona child custody lawyers protect your parental rights. Trusted legal support for custody disputes. Call us today.,Implemented,150,Phoenix Child Custody Attorney,Child Custody Attorneys in Arizona,Implemented,"Phoenix Child Custody Attorney Phoenix Child Custody Attorneys Dedicated to Helping You Make Smart Choices for Your Family Going through a divorce or breakup is difficult enough for most parents, but when you add a child custody battle to the mix, the reality of the situation can be overwhelming for many parents. How can you decide how much time each parent gets to spend with their child? It’s never easy to realize that you are most likely going to be spending less time with your children, and it’s an adjustment for the entire family. However, there are legal strategies you can use to ensure that you have a child custody order and parenting plan that is appropriate for your situation and lets you maintain an active and involved relationship with your children. Understanding how custody orders work and the different options available is the first step. Only a custody attorney can fight for your parental rights while protecting your child’s future and current best interests. Our Phoenix ",✅ Yes,❌ No
,https://www.azfamilylawattorneys.com/child-support/,Practice Area,TRUE,Child Support Attorneys/Lawyers,Child Support Attorney Phoenix | Arizona Child Support Lawyer,61,Child Support Lawyers | Arizona Family Law Attorneys,Implemented,52,"Do you have questions about child support? Call our firm to find out how to establish, modify, or enforce a child support order.",128,Need help with child support in Arizona? Our attorneys ensure fair calculations and enforcement. Protect your financial future. Schedule a consultation now.,Implemented,156,Phoenix Child Support Attorneys,Child Support Attorneys in Arizona,Implemented,"Phoenix Child Support Attorneys Phoenix Establishment of Child Support Attorneys Protecting What Matters Most Raising a child is expensive, and the average cost of child care and other necessities has been increasing steadily over the past few years. Finances are an area that can be especially difficult for single parents to navigate because they have less support and are trying to make everything work with one income. Child support can provide some much-needed financial relief, and the courts recognize that both parents have a responsibility to contribute to the financial support of their child. If you are a single parent, you may need more than just child support services and not even know it. Many divorced or separated parents try to tackle the child support system on their own. It’s always smarter to talk with a lawyer to understand every option you have in child support cases. When you call our office, find out if you should be receiving child support or if your current order is r",✅ Yes,❌ No
,https://www.azfamilylawattorneys.com/divorce/,Practice Area,TRUE,Divorce Attorneys/Lawyers,Phoenix Divorce Lawyers | Divorce Attorneys Phoenix,51,Divorce Lawyers | Arizona Family Law Attorneys,Implemented,46,How can you protect your interests during a divorce? Contact our firm to speak to a divorce attorney about your situation and how we can help.,142,"Navigating divorce in Arizona? Our experienced divorce lawyers protect your assets and rights. Compassionate, aggressive representation. Call us today.",Implemented,151,Divorce Attorneys Phoenix,Divorce Attorneys in Arizona,Implemented,"Divorce Attorneys Phoenix Phoenix Divorce Lawyers Working With Your Family’s Best Interest at Heart Going through a divorce can be the most challenging time in your life, and it affects nearly every area, from how much time you get to spend with your children to your financial resources. While many people begin the divorce process with the best of intentions to keep things civil and coparent peacefully, it’s not uncommon for this to change as the divorce proceedings continue. It’s a high-stakes, emotionally charged process, and it is important to have experienced legal representation every step of the way, from sending the divorce papers to getting your final decree. Even for those who are amicably separating, the legal process can be daunting and confusing if you don’t have extensive knowledge of Arizona divorce law. Our skilled lawyers at Arizona Family Law Attorneys are dedicated to ensuring you know any options that lie before you. We’re committed to making the divorce process as p",✅ Yes,❌ No
,https://www.azfamilylawattorneys.com/fathers-rights/,Practice Area,TRUE,Fathers’ Rights Attorneys/Lawyers,Fathers' Rights Lawyers in Phoenix,34,Father's RIghts Lawyers | Arizona Family Law Attorneys,Implemented,54,Are you a father facing a difficult family law matter? You don't need to go into family courts alone. Schedule a case evaluation with our firm for help.,152,Current Description is good.,No need to change,,Fathers’ Rights Attorneys in Phoenix,Fathers’ Rights Attorneys in Arizona,Implemented,"Fathers’ Rights Attorneys in Phoenix Defending the Father’s Rights in Complex Family Law Matters Child custody cases are among the most hotly contested legal matters argued in family law courts. While the best interests of a child’s life must be the primary focus of any judge in a child custody case, both parents have the legal right to defend their custody rights in courtroom hearings. Many dads express concern that they are not given proper consideration when it comes to being a part of their children’s lives. For this reason, it is recommended that fathers work with divorce lawyers in Arizona who are experienced in handling father’s rights cases. Arizona child custody includes two important components worth consideration: legal decision-making authority (also known as legal custody) and parenting time (also known as physical custody). In certain situations, one parent may be granted sole custody or sole legal decision-making authority. In such situations, the other parent may be res",✅ Yes,❌ No
,https://www.azfamilylawattorneys.com/guardianship/,Practice Area,TRUE,Guardianship Attorneys/Lawyers,Phoenix Guardianship Lawyers,28,Guardianship Lawyers | Arizona Family Law Attorneys,Implemented,51,Are you a guardian or interested in the legal process of naming guardians? This is an oft-misunderstood area of family law. Learn more today.,141,Seeking legal guardianship in Arizona? Our attorneys guide you through the complex process to protect loved ones. Contact us for a consultation today.,Implemented,150,Phoenix Guardianship Attorneys,Guardianship Attorneys in Arizona,Implemented,"Phoenix Guardianship Attorneys Helping Clients with the Legal Guardianship Process in Arizona A legal guardian is an individual appointed by the court to look after the best interests of their ward. Typically, a guardian looks after the legal rights, property interests, and medical decisions of a minor child or an incapacitated adult. A conservatorship, meanwhile, involves a person making financial decisions for their ward. Guardianship or conservatorship may also be granted in situations where a person is at risk of harm to themselves and cannot be trusted to make sound decisions or cannot care for themselves adequately. What is a Legal Guardian? Guardianship is a legal tool that entrusts a person (or, in some cases, an entity) to make legal decisions for another individual (known as a ward). Every state has its unique guardianship laws, which is why you must speak with an attorney local to you in AZ. Unless an individual has a durable power of attorney or other medical directives in ",✅ Yes,❌ No
,https://www.azfamilylawattorneys.com/divorce-mediation/,Practice Area,TRUE,Divorce Mediation Attorneys/Lawyers,Divorce Mediation Lawyers in Phoenix | Divorce Mediation Services,65,Divorce Mediation Lawyers | Arizona Family Law Attorneys,Implemented,56,Are you going through Arizona divorce mediation? It's recommended that you retain legal counsel during the process. Contact us for a case review today.,151,Looking for divorce mediation in Arizona? Resolve disputes amicably with our skilled mediators. Save time and stress. Call now to schedule a session.,Implemented,149,Divorce Mediation Attorneys Phoenix,Divorce Mediation Attorneys in Arizona,Implemented,"Divorce Mediation Attorneys Phoenix Family law legal issues like child support obligations, child custody arrangements, marital property division, and parenting plans often result in hotly contested legal battles before they come to a divorce settlement agreement. During such legal matters, you and your divorce attorneys may try a number of different negotiation tactics both in and out of family court in an attempt to resolve conflict and come to a mutually acceptable settlement. A peaceful divorce is not always possible, though, and sometimes these family law issues take divorcing spouses on the path to a costly divorce trial. For help resolving your family law case in Phoenix, AZ, we recommend hiring a mediation practice to help you and your spouse resolve conflict and negotiate. Some divorcing couples are able to reach fair divorce settlements without the need for mediation sessions. For those who cannot reach terms throughout the entire divorce process, it is wise to consider media",✅ Yes,❌ No
,https://www.azfamilylawattorneys.com/paternity/,Practice Area,TRUE,Paternity Attorneys/Lawyers,Arizona Paternity Lawyers,25,Paternity Lawyers | Arizona Family Law Attorneys,Implemented,48,"How is paternity established, and why is it important to do? Contact our firm to learn more about protecting your parental rights.",130,Establishing paternity in Arizona? Unmarried fathers need legal protection to secure rights. Our attorneys can help. Call today for a consultation.,Implemented,147,Arizona Paternity Attorneys: Protecting Parental Rights Across Arizona,Paternity Attorneys in Arizona,Implemented,"Arizona Paternity Attorneys: Protecting Parental Rights Across Arizona Ensuring Mothers and Fathers Understand Their Rights and How to Protect Them Child custody, parenting time, and child support are common issues separating parents face, but these aren’t limited to those going through a divorce. Parents who were never married must also contend with these challenges when they end their relationship. Establishing paternity is often the first step in these legal proceedings and is important to establish legal parentage and parental rights for the father. Whether you’re a father who is trying to get custody of and parenting time with their child or you’re a mother who needs to establish paternity to start child support, having legal representation is key. An experienced family law attorney can help you better understand how Arizona’s paternity and child custody laws work and how they apply to your circumstances. Call the Arizona Family Law Attorneys today to get started. How Is Paternity",✅ Yes,❌ No
,https://www.azfamilylawattorneys.com/spousal-support/,Practice Area,TRUE,Spousal Maintenance Attorneys/Lawyers,Spousal Support Attorneys in Phoenix | Arizona Alimony Lawyers,62,Spousal Maintenance Lawyers | Arizona Family Law Attorneys,Implemented,58,Do you need help fighting for your fair share? Let spousal support attorneys in Phoenix help today.,99,Facing spousal maintenance issues? Our Arizona alimony lawyers advocate for fair support outcomes. Don't face it alone. Schedule a consultation today.,Implemented,150,Phoenix Spousal Maintenance Attorneys,Spousal Maintenance Attorneys in Arizona,Implemented,"Phoenix Spousal Maintenance Attorneys When faced with a potentially devastating divorce or separation, there are many financial aspects to consider. While matters such as the division of property and assets may come at a later date in the process, spousal maintenance, also called spousal support or alimony, may need to be set up right away as temporary spousal support in order to avoid financial ruin for the spouse in question. Even if there is not an immediate need for spousal support, it may still be granted through the courts after a trial to determine matters such as which spouse has a case for spousal maintenance, how much spousal maintenance should be awarded, and under what circumstances. We now have spousal maintenance guidelines that must be used that provide for a payment range as well as a duration range, and then the negotiations begin. If you are facing this difficult time, you need experienced legal help. With the help of experienced spousal support attorneys in Phoenix, ",✅ Yes,❌ No
,https://www.azfamilylawattorneys.com/divorce/military-divorce/,Practice Area,TRUE,Military Divorce Attorneys/Lawyers,Military Divorce Attorney,25,Military Divorce Attorney Lawyers | Arizona Family Law Attorneys,Implemented,64,Are you looking for a military divorce attorney? Get help from an experienced family lawyer when you call our firm.,115,Military divorce involves unique challenges. Our Arizona attorneys understand military benefits and family law. Protect your service record. Call us today.,Implemented,155,Military Divorce Attorney: Protecting Your Rights in Divorce,Military Divorce Attorneys in Arizona,Implemented,"Military Divorce Attorney: Protecting Your Rights in Divorce Navigating Complex Military Divorce Cases If you or your spouse has decided to end your marriage, filing for divorce is the next step. Being in the military or having a spouse in the military can add additional complications to the divorce process. Because of this, it’s essential to have an experienced military divorce lawyer on your side to walk you through each step. There are similarities between civilian divorce and military divorce, but the differences can significantly impact your life after divorce. A Phoenix military divorce lawyer on our team can guide you through the military divorce process, helping you settle your divorce quickly so you can start a new chapter. Our team at Arizona Family Law Attorneys understands how overwhelming the divorce process can be, whether you’re a civilian or a service member. We are committed to helping you resolve your divorce issues quickly so you can focus on what matters most. For m",✅ Yes,❌ No
,https://www.azfamilylawattorneys.com/reviews/,Branded,TRUE,Client Reviews,Client Testimonials | Arizona Family Law Attorneys,50,Current Title is good,No need to change,,See What Our Clients Have Said About Us...,42,See why clients trust Arizona Family Law Attorneys. Read our 5-star reviews and testimonials. Compassionate representation you can rely on. Contact us today.,Implemented,157,See What Our Clients Have Said About Us…,Our Client Reviews,Implemented,See What Our Clients Have Said About Us…,❌ No,❌ No
,https://www.azfamilylawattorneys.com/locations/,Locations,TRUE,Family Law Offices in Arizona,AZ Family Law Office Locations | Arizona Family Law Attorneys,61,Our Locations | Arizona Family Law Attorneys,Implemented,44,"Arizona Family Law Attorneys provides family law support across Arizona. Get legal help with divorce, custody, adoption, and more. Schedule a free consultation.",160,Need a family lawyer in Arizona? Our local attorneys provide representation for divorce and other matters. Visit our Phoenix office or call today.,Implemented,146,AZ Family Law Offices in Arizona,Our Family Law Offices in Arizona,Implemented,"AZ Family Law Offices in Arizona At Arizona Family Law Attorneys, we understand that family law matters can be emotionally taxing and legally complex. Whether you’re facing a divorce, navigating child custody disputes, or dealing with adoption issues, our team of experienced attorneys is here to guide you every step of the way. General Line: 480-268-9393 Read Reviews Schedule Free Evaluation Phoenix Area Offices Phoenix Office (Primary Location) 3225 N Central Ave #100 Phoenix, AZ 85012, United States Our Phoenix office is centrally located to serve clients in Phoenix, Tempe, and the greater Maricopa County area. Our Legal Services Available Across Arizona At Arizona Family Law Attorneys, we offer a full range of family law services to clients in Phoenix and across Arizona. Whether in person or via virtual consultation, we provide expert guidance in the following areas: Divorce: Providing legal support for both contested and uncontested divorces, ensuring fair outcomes for all parties.",✅ Yes,❌ No
,https://www.azfamilylawattorneys.com/locations/phoenix/,Locations,FALSE,Family & Divorce Lawyers Phoenix,Phoenix Family Law & Divorce Lawyers | Arizona Family Law Attorneys,67,Phoenix Family & Divorce Lawyers | Arizona Family Law Attorneys,Implemented,63,"Facing family law issues in Phoenix? Arizona Family Law Attorneys offer expert legal help in divorce, custody, and more. Call (480) 448-0608 for a free case evaluation.",168,Need a family lawyer in Phoenix? Our local attorneys provide aggressive representation for divorce and custody. Visit our Phoenix office or call today.,Implemented,151,"Phoenix, AZ Family & Divorce Lawyers",Current H1 is good.,No need to change,"  Phoenix, AZ Family & Divorce Lawyers Arizona Family Law Attorneys Address: 3225 N Central Ave #100, Phoenix, AZ 85012, United States Phone: (480) 448-0608Mon: 8:00AM-4:00PM Tue-Fri: 9:00AM-4:00PM Saturday-Sun: ClosedSchedule Free Evaluation Family Law & Legal Services in Phoenix At Arizona Family Law Attorneys, located at 3225 N Central Ave #100, Phoenix, AZ 85012, we specialize in a wide range of family law matters, including divorce, child custody, child support, adoption, paternity, and more. Led by Shawna and Vernon Harris, our firm combines personalized attention with extensive experience to provide practical solutions while protecting your rights. We understand that family law matters can be some of the most challenging and emotionally difficult experiences of your life. Our team is committed to supporting you every step of the way, ensuring your best interests are always our top priority. Whether you’re dealing with divorce, child custody, or need guidance on adoption ",✅ Yes,❌ No
