Landing page + query string,URL Length (those with really long CHAR count are blogs),Page Title,H2-1,H2-2,Sessions,Key events,Total users,Bounce rate,New users,Engaged sessions,Views,Active users,Average engagement time per active user
/whats-your-superpower-and-how-are-you-using-it-to-help-others/,63,What’s Your Superpower? (And How Are You Using It to Help Others?),X-Ray Vision,Strength,44,0,43,0.6818181818,43,14,47,43,11.20930233
/books/intelligent-sales-pipeline/,34,Improving Your Lead Generation and Qualifications Processes,,,41,0,39,0.3658536585,34,26,72,38,25.36842105
/discount-selling-price/,24,Should You Discount Your Selling Price?,,,41,0,38,0.5853658537,38,17,43,38,42.86842105
/ebooks/,8,Sales eBooks for SMBs from Sales Xceleration,Unlock Sales Growth with AI,State of Sales: Small to Mid-Size Business,38,0,37,0.5263157895,35,18,75,37,27.08108108
/privacy-policy/,16,Privacy Policy,,,38,0,38,0.6842105263,38,12,38,38,10.28947368
/how-we-serve/,14,How We Serve,"“Integrity, character and ethics, lived out in service for others""",Sales Xceleration Day of Giving,36,0,33,0.6666666667,22,12,47,32,95.84375
/industries/manufacturing/,26,Fractional Sales Leadership for Manufacturing Companies,Scale Revenue in Competitive Markets,Key Sales Challenges in Manufacturing,36,0,33,0.6111111111,25,14,52,32,37.3125
/private-equity-solutions/,26,"Creating Scalable, Profitable Revenue Growth",Our Advisors have a proven track record of collaborating with PE Firms,Maximize Your Return on Investment,36,1,32,0.5833333333,20,15,98,29,143.2413793
/case-study/technology/,23,Technology: Learning to Build a True Sales Organization,,,35,0,35,0.7142857143,33,10,86,35,24.57142857
/sales-team/,12,Sales Team Development Services,Your Foundation for Scalable and Efficient Growth,Read Real Success Stories,35,1,33,0.7142857143,29,10,46,32,12
/html-sitemap/,14,HTML Sitemap,,,34,0,34,0.9411764706,33,2,34,34,2.941176471
/four-essential-elements-to-include-in-your-sales-action-plan-to-increase-sales/,80,Four Essential Elements to Include in Your Sales Action Plan to Increase Sales,Is There a Difference Between a Sales Plan and a Sales Action Plan?,Sales Action Plan Essential #1: Alignment with Your Sales Plan,33,0,33,0.5757575758,33,14,34,33,22.96969697
/salesperson-reputations-bad-overcome-trap/,43,Why Salesperson Reputations Are So Bad (and How to Overcome This Trap),,,33,0,33,0.4848484848,33,17,36,33,28.81818182
/industries/financial-services/,31,Fractional Sales Leadership for Financial Services,Scale Revenue in Competitive Markets,Key Sales Challenges in Financial Services,31,0,28,0.4838709677,24,16,53,28,36.28571429
/news-events/expansion-brings-time-tested-fractional-sales-leadership-to-australian-businesses-seeking-scalable-growth-solutions/,129,Expansion Brings Time-Tested Fractional Sales Leadership to Australian Businesses Seeking Scalable Growth Solutions,,,29,0,25,0.7931034483,25,6,29,25,4.88
/news-events/sales-xceleration-expands-with-3-new-fractional-sales-leaders/,75,Sales Xceleration Expands with 3 New Fractional Sales Leaders,,,28,0,27,0.7857142857,26,6,32,27,6.703703704
/private-equity-solutions/portfolio-company/,44,Accelerate Your Sales Success with Proven Expertise,Maximizing Sales Growth,Certified Sales Leadership,28,0,27,0.5357142857,17,13,48,27,35.77777778
/case-study/electrical-manufacturing-sales-strategy-and-processes-provide-immediate-growth/,91,Electrical Manufacturing: Sales Strategy and Processes Provide Immediate Growth,Executive Summary,The Big Win,27,0,27,0.9259259259,27,2,27,27,2.851851852
/case-study/influencer-marketing-agency-building-a-future-proof-sales-infrastructure/,85,Influencer Marketing Agency: Building a Future-Proof Sales Infrastructure,Company Profile,Sales Success Snapshot,27,0,25,0.6666666667,22,9,60,25,29.48
/four-painful-manufacturing-sales-challenges-and-the-cure-hiding-in-plain-sight/,80,Four Painful Manufacturing Sales Challenges (and the Cure Hiding in Plain Sight),,,27,0,25,0.5555555556,25,12,27,25,27.24
/news-events/sales-xceleration-named-one-of-silicon-reviews-50-fastest-growing-companies-of-2022/,97,Sales Xceleration Named One of Silicon Review’s 50 Fastest Growing Companies of 2022,About Sales Xceleration,,27,1,27,0.5925925926,27,11,41,27,51.51851852
/industries/technology/,23,Fractional Sales Leadership for Tech Companies,Scale Revenue in Competitive Markets,Key Sales Challenges in the Tech Space,26,4,21,0.5384615385,14,12,34,21,17.57142857
/news-events/the-firefly-group-invests-in-sales-xceleration-2/,62,The Firefly Group Invests in Sales Xceleration,,,26,0,26,0.8461538462,25,4,26,26,5.923076923
/private-equity-solutions/case-studies/,39,Private Equity Case Studies,"Let’s build your path to profitability, together.",,26,0,20,0.6538461538,11,9,51,19,84.26315789
/how-to-define-and-analyze-your-target-market-for-growth/,57,How to Define and Analyze Your Target Market for Growth,Target Market Segments,Target Market Examples,25,0,25,0.68,25,8,25,25,9.64
/case-study/manufacturing/,26,Manufacturing: Creating the Structure to Boost Revenue & Profit,,,24,0,24,0.7083333333,25,7,28,24,3.208333333
/news-events/game-changing-sales-leaders-join-sales-xceleration-to-increase-smb-revenue/,88,Game-Changing Sales Leaders Join Sales Xceleration to Increase SMB Revenue,,,24,0,23,0.375,21,15,37,23,36.7826087
/sales-connection/,18,Sales Connection,,,24,1,24,0.7083333333,21,7,41,24,15.08333333
/how-silence-can-help-you-sell-more/,36,How Silence Can Help You Sell More,,,23,0,23,0.6086956522,23,9,25,23,22.82608696
/news-events/sales-xceleration-welcomes-4-new-fractional-sales-leaders/,71,Sales Xceleration Welcomes 4 New Fractional Sales Leaders,About Sales Xceleration,,23,1,23,0.9130434783,23,2,27,23,12.60869565
/sales-agility-assessment/?locationid=22577475,46,Evaluation of Sales Performance,,,23,0,23,0.8695652174,22,3,24,23,4.565217391
/case-study/developing-a-strategy-for-ensured-success/,54,Medical Device Healthcare: Developing a Strategy for Ensured Success,Executive Summary,The Big Win,22,0,22,0.6818181818,22,7,31,22,27.22727273
/mastering-ai-for-sales-prospecting/,36,Mastering AI for Sales Prospecting,AI’s Role in Sales Prospecting,Building the Sales Pipeline,22,0,21,0.5909090909,21,9,22,21,8.619047619
/news-events/transform-your-sales-performance-with-rain-group-and-sales-xceleration/,84,Transform Your Sales Performance with RAIN Group and Sales Xceleration®,About Sales Xceleration,About RAIN Group,22,0,22,0.7727272727,23,5,54,22,2.136363636
/5-tips-to-boost-your-sales-performance/,40,5 Tips to Boost Your Sales Performance,1. Evaluate Your Sales Performance from the Previous Year,2. Develop a Sales Strategy with Realistic Goals,21,0,21,0.5238095238,21,10,22,21,11.57142857
/increase-selling-price/,24,Should You Increase Your Selling Price?,,,21,0,20,0.5714285714,19,9,22,20,27.05
/news-events/easy-online-sales-tool-helps-business-owners-assess-sales-deficiencies/,84,Easy Online Sales Tool Helps Business Owners Assess Sales Deficiencies,,,21,0,20,0.8571428571,18,3,34,20,8.65
/time-to-turn-over-a-new-leaf-here-are-signs-you-should-watch-for/,66,Time to Turn Over a New Leaf? Here Are Signs You Should Watch For,When is a Leaf Not a Leaf?,Signs It Might be Time to Rethink Your Future,21,0,20,0.5238095238,20,10,21,20,22
/5-sales-compensation-plan-mistakes-that-damage-morale-and-ruin-revenue/,72,Five Sales Compensation Plan Mistakes that Damage Morale and Ruin Revenue,,,20,0,19,0.95,19,1,20,19,6.736842105
/how-to-use-your-past-to-shape-a-more-purposeful-future/,56,How to Use Your Past to Shape a More Purposeful Future,,,20,0,19,0.5,19,10,20,19,17.52631579
/is-your-sales-manager-still-selling-big-mistake-heres-why/,59,Is Your Sales Manager Still Selling? Big Mistake. Here’s Why:,,,20,0,19,0.75,18,5,20,18,36.66666667
/news-events/sales-xceleration-recognized-as-pipedrives-regional-partner-of-the-year-north-america-2024/,104,Sales Xceleration Recognized as Pipedrive’s Regional Partner of the Year North America 2024,About Sales Xceleration,About Pipedrive,20,0,20,0.9,19,2,22,20,3
/the-high-performance-traits-that-power-a-high-performance-sales-team/,70,Forbes – The High-Performance Traits that Power A High-Performance Sales Team,High-Performance Sales Team Traits,,20,0,20,0.75,20,5,20,20,3.1
/the-rise-of-fractional-sales-leadership-a-growing-opportunity-for-sales-leaders/,81,The Rise of Fractional Sales Leadership: A Growing Opportunity for Sales Leaders,,,20,0,20,0.7,20,6,23,20,7.9
/how-smbs-should-address-inflation-in-5-key-steps/,50,How SMBs Should Address Inflation in 5 Key Steps,What challenges does a recession pose to SMBs?,Why does the recession affect SMBs so disproportionately?,19,0,19,0.9473684211,19,1,19,19,1.368421053
/increasing-sales-walking-away/,31,Increasing Sales by Walking Away More Often,,,19,0,19,0.8421052632,19,3,19,19,4.526315789
/lost-order-dont-lose-connection/,33,You Lost the Order – Don’t Make Things Worse by Losing the Connection,,,19,0,19,0.5263157895,19,9,19,19,21.78947368
/news-events/sales-xceleration-announces-a-partnership-with-claritysoft/,72,Sales Xceleration Announces a Partnership with Claritysoft,,,19,0,19,0.9473684211,19,1,19,19,1.789473684
/sales-agility-assessment/?locationid=22577447,46,Evaluation of Sales Performance,,,19,0,19,1,19,0,19,19,0.9473684211
/5-reasons-to-focus-on-increasing-sales-with-existing-customers/,64,5 Reasons to Focus on Increasing Sales with Existing Customers,Reason #1: To Strengthen Your Existing Customer Relationships – For Their Benefit and Yours,Reason #2: To Boost the ROI of Your Sales Efforts,18,0,16,0.5,16,9,20,16,16.8125
/artificial-intelligence-in-sales-how-ai-is-changing-the-future-of-sales/,73,Artificial Intelligence in Sales: How AI is Changing the Future of Sales,What is Artificial Intelligence?,Artificial Intelligence in the Sales Process,18,0,17,0.7777777778,19,4,21,17,3.117647059
/crm-definition-and-tips-for-success/,37,What is a CRM (and Why Is It Essential To Your Sales Team’s Success)?,,,18,0,18,0.6666666667,19,6,24,18,15.33333333
/how-to-use-ai-for-b2b-lead-generation-strategies-to-boost-sales/,65,How to Use AI for B2B Lead Generation: Strategies to Boost Sales,B2B Lead Generation Challenges,Best AI Tools for B2B Lead Generation:,18,0,17,0.7777777778,16,4,19,17,11.11764706
/news-events/outsourcing-sales-leadership-provides-focus-and-results-for-business-owners/,89,Outsourcing Sales Leadership Provides Focus and Results for Business Owners,About Sales Xceleration,,18,0,18,0.9444444444,18,1,18,18,2
/sales-agility-the-secret-to-successful-small-businesses/,57,Sales Agility: The Secret to Successful Small Businesses,Unpacking the Sales Agility Assessment,1. Companies aren’t compensating sales reps in a way that drives desired behaviors.,18,0,17,0.8333333333,17,3,19,17,6.470588235
/sales-forecasting-the-future-how-ai-turns-sales-strategy-from-guesswork-into-growth/,85,Sales Forecasting the Future: How AI Turns Sales Strategy from Guesswork into Growth,Traditional Forecasting Is Biased and Backward Looking,Aligning Sales Strategy for Accurate Forecasting with AI,18,0,18,0.4444444444,15,10,19,18,16.27777778
/author/salesxceleration/,25,Sales Xceleration Team,,,17,0,17,0.7647058824,15,4,19,17,6.647058824
/business-owners-shouldnt-act-sales-manager/,44,"Why Most Business Owners Shouldn’t Act As Sales Manager, Too",,,17,0,16,0.7058823529,16,5,17,16,23.625
/case-study/hand-held-test-equipment-manufacturer/,50,Equipment Manufacturing: Streamlining Processes to Accomplish Forecast Accuracy,Executive Summary,The Big Win,17,0,17,0.8235294118,15,3,20,17,2.058823529
/case-study/it-professional-services-building-a-sustainable-sales-strategy-for-accelerated-growth/,98,IT Professional Services: Building a Sustainable Sales Strategy for Accelerated Growth,Executive Summary,The Big Win,17,0,17,0.8823529412,17,2,17,17,2.411764706
/case-study/medical-equipment-healthcare-improving-sales-infrastructure-for-long-term-success/,94,Medical Equipment Healthcare: Improving Sales Infrastructure for Long-Term Success,Company Profile,Sales Success Snapshot,17,0,17,0.7647058824,15,4,17,17,9.882352941
/do-you-know-the-4-parts-of-a-successful-sales-compensation-plan/,65,Do You Know the 4 Parts of a Successful Sales Compensation Plan?,,,17,0,17,0.7647058824,16,4,18,17,13.05882353
/harness-the-power-of-artificial-intelligence-to-drive-sales/,61,Harness the Power of Artificial Intelligence to Drive Sales,Customer Insights and Personalization,Enhanced Lead Generation,17,0,17,0.9411764706,17,1,17,17,0.5294117647
/news-events/one-new-sales-pro-joins-the-sales-xceleration-team/,64,One New Sales Pro Joins the Sales Xceleration® Team,About Sales Xceleration,,17,0,17,0.8823529412,17,2,18,17,1.058823529
/news-events/sales-agility-assessment/,38,"PRESS RELEASE: Outsourced Sales Management Company Offers New Sales Agility Assessment ℠ Online, to Evaluate Sales Effectiveness in Small-to-Medium Companies",,,17,0,17,0.9411764706,17,1,17,17,1.882352941
/news-events/sales-xceleration-and-authentic-brand-join-in-national-partnership/,80,Sales Xceleration and Authentic Join in National Partnership,ABOUT SALES XCELERATION,ABOUT AUTHENTIC,17,0,17,1,17,0,17,17,0.8823529412
/news-events/seven-new-outsourced-vps-of-sales-are-ready-to-build-a-path-to-more-sales/,87,Seven New Outsourced VPs of Sales Are Ready to Build a Path to More Sales,About Sales Xceleration,,17,0,17,0.7647058824,17,4,17,17,1.941176471
/professionalism-in-virtual-meetings-how-it-impacts-the-remote-work-debate/,75,Professionalism in Virtual Meetings: How It Impacts the Remote Work Debate,The Effects of a Lack of Professionalism in Virtual Meetings,Establishing Professionalism Guidelines for Remote Teams,17,0,14,0.8823529412,14,2,18,14,31.42857143
/why-outsourcing-leadership-roles-is-the-best-business-decision-you-can-make/,77,Why Outsourcing Leadership Roles Is the Best Business Decision You Can Make,The Generalist vs. Specialist Debate,What Are the Benefits of a Fractional Executive?,17,0,13,0.7647058824,11,4,17,13,15.07692308
/author/maura-kautsky/,22,Maura Kautsky,,,16,0,16,0.75,16,4,16,16,4
/case-study/internet-service-provider-improving-close-rates-to-44-09/,69,Internet Service Provider: Improving Close Rates to 44.09%,Company Profile,Sales Success Snapshot,16,0,16,0.8125,16,3,35,16,74
/future-proof-your-sales-4-essential-technologies-and-trends/,61,Future-Proof Your Sales: 4 Essential Technologies and Trends,1. CRM Systems,2. Virtual Selling,16,0,15,0.75,14,4,17,15,4.333333333
/how-ai-can-act-as-the-perfect-complement-to-sales-teams/,57,How AI Can Act as the Perfect Complement to Sales Teams,,,16,0,16,1,16,0,16,16,0.75
/how-leaders-create-sales-action-plans-to-improve-the-bottom-line/,66,How Leaders Create Sales Action Plans to Improve the Bottom Line,,,16,0,16,0.6875,17,5,37,16,1
/news-events/fifteen-new-outsourced-sales-vps-join-sales-xceleration-as-the-need-for-fractional-sales-leaders-sees-a-big-increase/,130,New Outsourced Sales VPs Join Sales Xceleration as the Need for Fractional Sales Leaders Sees A Big Increase,About Sales Xceleration,,16,0,16,0.875,15,2,17,16,1.125
/news-events/sales-xceleration-grows-with-strategic-acquisition-of-quintegra-resourcing/,88,Sales Xceleration Grows with Strategic Acquisition of Quintegra Resourcing,About Amplify Sales Recruiting,About Sales Xceleration,16,0,16,0.9375,15,1,16,16,1.625
/news-events/sales-xceleration-introduces-newest-fractional-vps-of-sales-to-propel-business-growth/,99,Sales Xceleration Introduces Newest Fractional VPs of Sales to Propel Business Growth,About Sales Xceleration®,,16,0,15,0.9375,15,1,16,15,2.333333333
/sales-hiring-strategy-how-to-hire-top-sales-talent/,52,Sales Hiring Strategy: How to Hire Top Sales Talent,1. Define Your Ideal Candidate,2. Source Candidates Via Multiple Platforms And Channels,16,0,16,0.875,16,2,17,16,2.8125
/sales-tips-and-strategies-for-business-facing-seasonal-fluctuations/,69,Business.com – Sales Tips and Strategies for Business Facing Seasonal Fluctuations,"If your business faces seasonal fluctuations in sales, it is important to prepare for those dips.",1. Adjust for the impact of seasonality when forecasting sales.,16,0,15,0.5625,15,7,17,15,56.46666667
/sales-xcelerators-peer-group/,30,Sales Xcelerators Peer Group,,,16,0,16,0.6875,15,5,30,16,29.75
/the-power-of-serving-versus-selling/,37,The Power of Serving Versus Selling,The Trouble with Selling,The Power of Serving,16,0,16,0.9375,16,1,16,16,1.8125
/the-sales-strategy-shift-most-founders-miss/,45,The Sales Strategy Shift Most Founders Miss,Key takeaways:,Episode highlights:,16,0,16,0.9375,14,1,16,16,3
/what-makes-a-great-sales-manager-these-12-skills-are-a-good-start/,67,What Makes a Great Sales Manager? These 12 Skills are a Good Start.,,,16,0,16,0.5,16,8,16,16,9.5625
/wondering-how-to-overcome-sales-challenges-focus-on-these-3-areas/,67,Wondering How to Overcome Sales Challenges? Focus on These 3 Areas,Key Takeaways,1. Take a second look at onboarding sales reps,16,0,16,0.75,15,4,20,16,5.5
/5-keys-to-a-successful-sales-compensation-plan/,48,5 Keys to a Successful Sales Compensation Plan,,,15,0,15,0.6666666667,15,5,15,15,12.4
/can-being-too-resilient-keep-you-from-realizing-opportunity/,61,Can Being Too Resilient Keep You from Realizing Opportunity?,"Just What IS This Resilience Thing, Anyway?",The Dangers of Being Over-Resilient,15,0,15,0.7333333333,15,4,17,15,16
/five-steps-to-master-personalization-in-sales/,47,Five Steps to Master Personalization in Sales,Understanding the Power of Personalization,Five Actionable Steps to Tailor Your Sales Approach,15,0,14,0.8666666667,14,2,15,14,0.9285714286
/halftime-is-prime-time-to-move-from-success-to-significance/,61,Halftime is Prime Time to Move from Success to Significance,,,15,0,15,0.9333333333,15,1,15,15,7.133333333
/how-to-achieve-your-business-goals-with-individual-salesperson-goals/,70,How to Achieve Your Business Goals with Individual Salesperson Goals,No “I” in Team?,Strategies for Achieving Goals: #1 – Make Individual Salesperson Goals Personal,15,0,15,0.9333333333,15,1,17,15,23.13333333
/industries/legal/,18,Fractional Sales Leadership for Legal Firms,Key Sales Challenges in the Legal Industry,Why Fractional Sales Leadership Fits Legal Firms,15,0,13,0.6,11,6,48,13,66.92307692
/maximizing-productivity-at-every-level-an-introduction-to-level-10-sales-meetings/,83,Maximizing Productivity at Every Level: An Introduction to Level 10 Sales Meetings,Best Practices for Running a Level 10 Sales Meeting,,15,0,15,0.8,15,3,15,15,9.4
/news-events/kevin-shaughnessy-san-antonio-entrepreneurs/,57,Sales Xceleration Advisor Kevin Shaughnessy – Giving Back to San Antonio Entrepreneurs,,,15,0,15,0.8666666667,15,2,16,15,11.26666667
/news-events/raising-bar-higher-sales-xceleration-2018-annual-conference-recap/,79,Raising the Bar Higher – Sales Xceleration 2018 Annual Conference Recap!,,,15,0,15,1,15,0,15,15,0.2
/news-events/sales-xceleration-announces-presidents-club-and-presidents-circle-winners/,87,Sales Xceleration® Announces President’s Club and President’s Circle Winners,,,15,0,15,0.4666666667,13,8,17,14,32.28571429
/why-i-left-a-successful-career-in-sales-leadership/,52,Thrive Global – Why I Left a Successful Career in Sales Leadership,,,15,0,15,0.5333333333,15,7,19,15,31.6
/12-ways-to-make-sure-your-vision-casting-makes-ripples/,56,12 Ways to Make Sure Your Vision Casting Makes Ripples,,,14,0,14,0.8571428571,14,2,14,14,7
/achieving-sales-excellence-a-strategic-roadmap-for-b2b-companies-with-revenues-below-100m/,91,Achieving Sales Excellence: A Strategic Roadmap for B2B Companies with Revenues Below $100M,Four Focal areas for this series:,The remaining 12 areas for additional focus:,14,0,14,0.7857142857,14,3,14,14,8.714285714
/achieving-sales-excellence-choosing-effective-sales-channels-for-b2b-companies-under-100m/,91,Achieving Sales Excellence: Choosing Effective Sales Channels for B2B Companies Under $100M,"Who, What, How, and Where",The Significance of Sales Channels,14,0,14,0.7857142857,14,3,14,14,2
/author/kshaughnessy/,21,Kevin Shaughnessy,,,14,0,14,0.6428571429,15,5,15,14,4.571428571
/creating-a-sales-process-that-meets-modern-buyer-needs/,56,Creating a Sales Process That Meets Modern Buyer Needs,Component 1: Sales Process,Component 2: Sales Compensation Plans,14,0,14,1,14,0,14,14,0.5
/five-things-top-sales-leaders-differently/,43,Five Things Top Sales Leaders Do Differently,,,14,0,14,1,14,0,14,14,0.07142857143
/how-top-salespeople-thrive-in-a-fast-paced-world/,50,How Top Salespeople Thrive in a Fast-Paced World,,,14,0,14,0.8571428571,14,2,14,14,5.357142857
/news-events/lee-brumbaugh-steps-into-leadership-role-as-ceo-visionary-of-sales-xceleration/,92,Lee Brumbaugh Steps into Leadership Role as CEO/Visionary of Sales Xceleration®,,,14,0,11,0.4285714286,11,8,18,11,16.09090909
/smarter-sales-with-ai-without-the-security-risk/,49,Smarter Sales with AI—Without the Security Risk,Securing Success: AI Safety and Data Protocols Every SMB Sales Teams,Why AI Security Matters More Than Ever,14,0,14,0.7857142857,13,3,14,14,6.928571429
/tie-a-bow-on-your-company/,27,Tie A BOW on Your Company,,,14,0,14,1,14,0,14,14,0
/what-are-you-passionate-about-and-what-are-you-doing-about-it/,63,What Are You Passionate About? (And What Are You Doing About It?),Just What is This “Passion Thing” Anyway?,Connecting to Purpose,14,0,14,0.8571428571,14,2,15,14,4.642857143
/why-do-businesses-struggle-with-key-performance-indicators/,60,Why do Businesses Struggle with Key Performance Indicators?,KPIs to consider:,,14,0,14,0.8571428571,14,2,17,14,31.21428571
/author/hdanz/,14,Harry Danz,,,13,0,13,0.9230769231,13,1,13,13,1.538461538
/author/tgardner/,17,Tom Gardner,,,13,0,13,1,13,0,13,13,2.538461538
